=============================================================
 starting episode: 1200/2000
### TORCS is RELAUNCHED ###
Client connected on 3103..............
Ep:1201 step:1140(894038), a_t=[s= 0.20, t= 0.952664, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  117396.80 /  117396.80 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1160(894058), a_t=[s= 0.32, t= 0.965118, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  119001.48 /  119001.48 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1180(894078), a_t=[s= 0.44, t= 0.962070, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  120606.16 /  120606.16 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1200(894098), a_t=[s= 0.23, t= 0.945489, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  122210.84 /  122210.84 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1220(894118), a_t=[s= 0.34, t= 0.947033, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  123815.52 /  123815.52 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1240(894138), a_t=[s= 0.16, t= 0.936946, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  125420.20 /  125420.20 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1260(894158), a_t=[s= 0.17, t= 0.963696, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  127024.88 /  127024.88 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1280(894178), a_t=[s= 0.29, t= 0.940491, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  128629.56 /  128629.56 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1300(894198), a_t=[s= 0.32, t= 0.947775, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  130234.24 /  130234.24 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
Ep:1201 step:1320(894218), a_t=[s= 0.59, t= 0.956783, b= 0.000000], r_t=[r= 80.23, prog= 427.30, pen=-62.20, r_old= 80.23], Reward=  131838.91 /  131838.91 /  259455.47, epsilon=  0.100, speed=  142.44, gear= 5, damage= 0.00
