=============================================================
 starting episode: 0/2000
Client connected on 3105..............
Ep:1 step:1460(1539), a_t=[s= 1.00, t= 0.396157, b= 0.000000], r_t=[r= 0.39, prog= 2.35, pen=-1.95, r_old= 0.39], Reward=  6842.30 /  6696.04 /  4887.92, epsilon=  0.995, speed=  0.94, gear= 1, damage= 783.00
Ep:1 step:1480(1559), a_t=[s=-0.03, t= 0.587424, b= 0.000000], r_t=[r= 0.21, prog= 1.10, pen=-0.89, r_old= 0.21], Reward=  6846.49 /  6700.23 /  4887.92, epsilon=  0.995, speed=  0.43, gear= 1, damage= 783.00
Ep:1 step:1500(1579), a_t=[s= 0.98, t= 0.271520, b= 0.000000], r_t=[r= 0.27, prog= 1.28, pen=-1.01, r_old= 0.27], Reward=  6851.93 /  6705.67 /  4887.92, epsilon=  0.995, speed=  0.49, gear= 1, damage= 783.00
Ep:1 step:1520(1599), a_t=[s= 0.45, t= 0.595582, b= 0.000000], r_t=[r= 0.41, prog= 1.75, pen=-1.34, r_old= 0.41], Reward=  6859.33 /  6713.07 /  4887.92, epsilon=  0.995, speed=  0.66, gear= 1, damage= 783.00
Ep:1 step:1540(1619), a_t=[s= 0.37, t= 0.454269, b= 0.000000], r_t=[r= 1.71, prog= 5.61, pen=-3.90, r_old= 1.71], Reward=  6880.54 /  6734.28 /  4887.92, epsilon=  0.995, speed=  2.01, gear= 1, damage= 783.00
Ep:1 step:1560(1639), a_t=[s=-0.81, t= 0.543311, b= 0.000000], r_t=[r= 2.15, prog= 6.15, pen=-4.00, r_old= 2.15], Reward=  6917.98 /  6771.72 /  4887.92, epsilon=  0.995, speed=  2.14, gear= 1, damage= 783.00
Ep:1 step:1580(1659), a_t=[s=-0.24, t= 0.389362, b= 0.000000], r_t=[r= 2.23, prog= 6.42, pen=-4.19, r_old= 2.23], Reward=  7045.07 /  6898.81 /  4887.92, epsilon=  0.994, speed=  2.23, gear= 1, damage= 783.00
Ep:1 step:1600(1679), a_t=[s= 0.53, t= 0.616745, b= 0.000000], r_t=[r= 3.01, prog= 8.09, pen=-5.08, r_old= 3.01], Reward=  7095.85 /  6949.59 /  4887.92, epsilon=  0.994, speed=  2.77, gear= 1, damage= 783.00
Ep:1 step:1620(1699), a_t=[s= 0.80, t= 0.631387, b= 0.000000], r_t=[r= 19.20, prog= 46.07, pen=-26.88, r_old= 19.20], Reward=  7300.90 /  7154.64 /  4887.92, epsilon=  0.994, speed=  15.44, gear= 1, damage= 783.00
META = 1 ... Running backwards
