=============================================================
 starting episode: 0/2000
Client connected on 3101..............
Ep:2 step:1040(1500), a_t=[s=-0.62, t= 0.566450, b= 0.000000], r_t=[r=-2.15, prog= 5.52, pen=-3.99, r_old=-2.15], Reward= -1097.04 / -1097.04 / -2262.38, epsilon=  0.995, speed=  1.88, gear= 1, damage= 893.00
Ep:2 step:1060(1520), a_t=[s=-0.04, t= 0.546907, b= 0.000000], r_t=[r=-2.55, prog= 6.79, pen=-4.82, r_old=-2.55], Reward= -1151.94 / -1151.94 / -2262.38, epsilon=  0.995, speed=  2.30, gear= 1, damage= 893.00
Ep:2 step:1080(1540), a_t=[s=-0.66, t= 0.305770, b= 0.000000], r_t=[r=-2.61, prog= 7.12, pen=-4.98, r_old=-2.61], Reward= -1200.48 / -1200.48 / -2262.38, epsilon=  0.995, speed=  2.41, gear= 1, damage= 893.00
Ep:2 step:1100(1560), a_t=[s= 1.00, t= 0.596372, b= 0.000000], r_t=[r=-8.49, prog= 26.12, pen=-17.19, r_old=-8.49], Reward= -1278.73 / -1278.73 / -2262.38, epsilon=  0.995, speed=  8.73, gear= 1, damage= 893.00
Ep:2 step:1120(1580), a_t=[s= 0.02, t= 0.460040, b= 0.000000], r_t=[r=-14.66, prog= 50.52, pen=-31.50, r_old=-14.66], Reward= -1544.09 / -1544.09 / -2262.38, epsilon=  0.995, speed=  16.86, gear= 1, damage= 893.00
Ep:2 step:1140(1600), a_t=[s= 1.00, t= 0.687550, b= 0.000000], r_t=[r=-13.40, prog= 171.43, pen=-70.54, r_old=-13.40], Reward= -1954.63 / -1954.63 / -2262.38, epsilon=  0.995, speed=  59.69, gear= 1, damage= 893.00
Ep:2 step:1160(1620), a_t=[s= 1.00, t= 0.381441, b= 0.000000], r_t=[r=-0.09, prog= 0.14, pen=-0.14, r_old=-0.09], Reward= -2231.53 / -2231.53 / -2262.38, epsilon=  0.995, speed=  0.06, gear= 1, damage= 2268.00
Ep:2 step:1180(1640), a_t=[s= 0.19, t= 0.379663, b= 0.000000], r_t=[r=-0.34, prog= 0.55, pen=-0.52, r_old=-0.34], Reward= -2242.24 / -2242.24 / -2262.38, epsilon=  0.995, speed=  0.24, gear= 1, damage= 2268.00
Ep:2 step:1200(1660), a_t=[s=-0.70, t= 0.534604, b= 0.000000], r_t=[r=-1.17, prog= 2.08, pen=-1.86, r_old=-1.17], Reward= -2253.65 / -2253.65 / -2262.38, epsilon=  0.994, speed=  0.88, gear= 1, damage= 2268.00
Ep:2 step:1220(1680), a_t=[s=-1.00, t= 0.428294, b= 0.000000], r_t=[r=-1.91, prog= 3.93, pen=-3.22, r_old=-1.91], Reward= -2271.37 / -2271.37 / -2262.38, epsilon=  0.994, speed=  1.56, gear= 1, damage= 2268.00
