=============================================================
 starting episode: 700/2000
Waiting for server on 3112............
Count Down : 5
Client connected on 3112..............
Ep:700 step:1120(110812), a_t=[s=-0.78, t= 0.006095, b= 0.000000], r_t=[r=-0.02, prog=-0.04, pen= 0.01, r_old=-0.02], Reward=  1088.10 /  1088.10 /  275777.58, epsilon=  0.657, speed= -0.01, gear= 1, damage= 0.00
Ep:700 step:1140(110832), a_t=[s=-0.89, t= 0.009959, b= 0.000000], r_t=[r= 0.02, prog= 0.06, pen=-0.04, r_old= 0.02], Reward=  1088.54 /  1088.54 /  275777.58, epsilon=  0.657, speed=  0.02, gear= 1, damage= 0.00
Ep:700 step:1160(110852), a_t=[s=-0.95, t= 0.015753, b= 0.000000], r_t=[r= 0.00, prog= 0.00, pen=-0.00, r_old= 0.00], Reward=  1089.06 /  1089.06 /  275777.58, epsilon=  0.657, speed=  0.00, gear= 1, damage= 0.00
Ep:700 step:1180(110872), a_t=[s=-0.89, t= 0.010221, b= 0.000000], r_t=[r=-0.11, prog=-0.19, pen= 0.08, r_old=-0.11], Reward=  1087.74 /  1087.74 /  275777.58, epsilon=  0.657, speed= -0.07, gear= 1, damage= 0.00
Ep:700 step:1200(110892), a_t=[s=-0.99, t= 0.049079, b= 0.000000], r_t=[r=-0.06, prog=-0.10, pen= 0.04, r_old=-0.06], Reward=  1086.72 /  1086.72 /  275777.58, epsilon=  0.657, speed= -0.04, gear= 1, damage= 0.00
Ep:700 step:1220(110912), a_t=[s=-0.97, t= 0.026749, b= 0.000000], r_t=[r=-0.13, prog=-0.22, pen= 0.09, r_old=-0.13], Reward=  1085.70 /  1085.70 /  275777.58, epsilon=  0.657, speed= -0.08, gear= 1, damage= 0.00
Ep:700 step:1240(110932), a_t=[s=-0.99, t= 0.053348, b= 0.000000], r_t=[r= 0.01, prog= 0.04, pen=-0.03, r_old= 0.01], Reward=  1085.37 /  1085.37 /  275777.58, epsilon=  0.657, speed=  0.01, gear= 1, damage= 0.00
Ep:700 step:1260(110952), a_t=[s=-1.00, t= 0.061107, b= 0.000000], r_t=[r=-0.09, prog=-0.16, pen= 0.06, r_old=-0.09], Reward=  1084.47 /  1084.47 /  275777.58, epsilon=  0.657, speed= -0.06, gear= 1, damage= 0.00
Ep:700 step:1280(110972), a_t=[s=-0.97, t= 0.025928, b= 0.000000], r_t=[r=-0.08, prog=-0.14, pen= 0.06, r_old=-0.08], Reward=  1084.12 /  1084.12 /  275777.58, epsilon=  0.657, speed= -0.05, gear= 1, damage= 0.00
Ep:700 step:1300(110992), a_t=[s=-1.00, t= 0.098929, b= 0.000000], r_t=[r= 0.03, prog= 0.14, pen=-0.11, r_old= 0.03], Reward=  1084.38 /  1084.38 /  275777.58, epsilon=  0.657, speed=  0.05, gear= 1, damage= 0.00
