=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:3 step:400(1322), a_t=[s= 0.34, t= 0.555030, b= 0.000000], r_t=[r=-0.76, prog= 0.66, pen=-0.98, r_old=-0.76], Reward= -894.61 / -894.61 / -960.73, epsilon=  0.996, speed=  0.35, gear= 1, damage= 503.00
Ep:3 step:420(1342), a_t=[s=-0.81, t= 0.648573, b= 0.000000], r_t=[r=-0.72, prog= 0.68, pen=-0.95, r_old=-0.72], Reward= -904.05 / -904.05 / -960.73, epsilon=  0.996, speed=  0.34, gear= 1, damage= 503.00
Ep:3 step:440(1362), a_t=[s=-0.94, t= 0.443674, b= 0.000000], r_t=[r=-0.52, prog= 0.54, pen=-0.70, r_old=-0.52], Reward= -915.70 / -915.70 / -960.73, epsilon=  0.995, speed=  0.26, gear= 1, damage= 503.00
Ep:3 step:460(1382), a_t=[s=-0.84, t= 0.345257, b= 0.000000], r_t=[r=-0.53, prog= 0.58, pen=-0.72, r_old=-0.53], Reward= -925.31 / -925.31 / -960.73, epsilon=  0.995, speed=  0.26, gear= 1, damage= 503.00
Ep:3 step:480(1402), a_t=[s= 0.64, t= 0.543583, b= 0.000000], r_t=[r=-1.10, prog= 1.31, pen=-1.54, r_old=-1.10], Reward= -938.37 / -938.37 / -960.73, epsilon=  0.995, speed=  0.57, gear= 1, damage= 503.00
Ep:3 step:500(1422), a_t=[s= 0.22, t= 0.428478, b= 0.000000], r_t=[r=-0.65, prog= 0.81, pen=-0.92, r_old=-0.65], Reward= -949.45 / -949.45 / -960.73, epsilon=  0.995, speed=  0.35, gear= 1, damage= 503.00
Ep:3 step:520(1442), a_t=[s=-0.10, t= 0.449039, b= 0.000000], r_t=[r=-1.01, prog= 1.36, pen=-1.47, r_old=-1.01], Reward= -967.10 / -967.10 / -960.73, epsilon=  0.995, speed=  0.56, gear= 1, damage= 503.00
Ep:3 step:540(1462), a_t=[s=-0.80, t= 0.489663, b= 0.000000], r_t=[r=-0.60, prog= 0.84, pen=-0.88, r_old=-0.60], Reward= -981.67 / -981.67 / -960.73, epsilon=  0.995, speed=  0.34, gear= 1, damage= 503.00
Ep:3 step:560(1482), a_t=[s=-0.23, t= 0.587577, b= 0.000000], r_t=[r=-0.93, prog= 1.36, pen=-1.38, r_old=-0.93], Reward= -996.51 / -996.51 / -960.73, epsilon=  0.995, speed=  0.54, gear= 1, damage= 503.00
Ep:3 step:580(1502), a_t=[s=-1.00, t= 0.413850, b= 0.000000], r_t=[r=-0.53, prog= 0.81, pen=-0.80, r_old=-0.53], Reward= -1011.08 / -1011.08 / -960.73, epsilon=  0.995, speed=  0.32, gear= 1, damage= 503.00
Ep:3 step:600(1522), a_t=[s= 1.00, t= 0.466055, b= 0.000000], r_t=[r=-2.07, prog= 3.31, pen=-3.18, r_old=-2.07], Reward= -1027.85 / -1027.85 / -960.73, epsilon=  0.995, speed=  1.26, gear= 1, damage= 503.00
Ep:3 step:620(1542), a_t=[s=-0.90, t= 0.612524, b= 0.000000], r_t=[r=-1.13, prog= 1.90, pen=-1.76, r_old=-1.13], Reward= -1051.12 / -1051.12 / -960.73, epsilon=  0.995, speed=  0.71, gear= 1, damage= 503.00
Ep:3 step:640(1562), a_t=[s=-1.00, t= 0.483864, b= 0.000000], r_t=[r=-0.31, prog= 0.53, pen=-0.49, r_old=-0.31], Reward= -1068.58 / -1068.58 / -960.73, epsilon=  0.995, speed=  0.20, gear= 1, damage= 503.00
