=============================================================
 starting episode: 200/2000
Client connected on 3105..............
Ep:200 step:1940(100757), a_t=[s=-0.39, t= 0.000742, b= 0.000000], r_t=[r= 2.77, prog= 2.98, pen=-0.21, r_old= 2.77], Reward=  2251.51 /  2251.51 /  294266.38, epsilon=  0.692, speed=  1.00, gear= 1, damage= 0.00
Ep:200 step:1960(100777), a_t=[s= 0.02, t= 0.002598, b= 0.000000], r_t=[r=-0.06, prog=-0.06, pen=-0.00, r_old=-0.06], Reward=  2271.69 /  2271.69 /  294266.38, epsilon=  0.692, speed= -0.02, gear= 1, damage= 0.00
Ep:200 step:1980(100797), a_t=[s= 0.58, t= 0.000034, b= 0.000000], r_t=[r= 0.12, prog= 0.13, pen=-0.01, r_old= 0.12], Reward=  2274.99 /  2274.99 /  294266.38, epsilon=  0.692, speed=  0.04, gear= 1, damage= 0.00
=============================================================
 starting episode: 201/2000
Waiting for server on 3105............
Count Down : 5
Client connected on 3105..............
Ep:201 step:0(100817), a_t=[s=-0.74, t= 0.705369, b= 0.000000], r_t=[r= 0.01, prog= 0.01, pen=-0.00, r_old= 0.01], Reward=  0.01 /  0.01 /  294266.38, epsilon=  0.692, speed=  0.00, gear= 1, damage= 0.00
Ep:201 step:20(100837), a_t=[s= 0.26, t= 0.449289, b= 0.000000], r_t=[r= 71.58, prog= 75.44, pen=-3.85, r_old= 71.58], Reward=  720.34 /  720.34 /  294266.38, epsilon=  0.692, speed=  25.15, gear= 1, damage= 0.00
Ep:201 step:40(100857), a_t=[s= 1.00, t= 0.344745, b= 0.000000], r_t=[r= 126.81, prog= 150.08, pen=-23.27, r_old= 126.81], Reward=  2973.98 /  2973.98 /  294266.38, epsilon=  0.692, speed=  50.70, gear= 2, damage= 0.00
