=============================================================
 starting episode: 0/2000
Client connected on 3109..............
Ep:0 step:1600(1601), a_t=[s= 0.11, t= 0.412336, b= 0.000000], r_t=[r= 9.65, prog= 24.44, pen=-14.79, r_old= 9.65], Reward=  2899.70 /  2790.21 / -inf, epsilon=  0.995, speed=  8.26, gear= 1, damage= 1978.00
Ep:0 step:1620(1621), a_t=[s= 0.64, t= 0.607054, b= 0.000000], r_t=[r= 6.50, prog= 17.14, pen=-10.64, r_old= 6.50], Reward=  2971.64 /  2856.19 / -inf, epsilon=  0.995, speed=  5.84, gear= 1, damage= 2018.00
Ep:0 step:1640(1641), a_t=[s=-0.56, t= 0.375660, b= 0.000000], r_t=[r= 4.15, prog= 10.80, pen=-6.65, r_old= 4.15], Reward=  3043.10 /  2927.65 / -inf, epsilon=  0.995, speed=  3.67, gear= 1, damage= 2018.00
Ep:0 step:1660(1661), a_t=[s= 0.17, t= 0.327879, b= 0.000000], r_t=[r= 2.33, prog= 10.87, pen=-8.54, r_old= 2.33], Reward=  3264.31 /  3139.39 / -inf, epsilon=  0.994, speed=  4.19, gear= 1, damage= 2032.00
Ep:0 step:1680(1681), a_t=[s= 0.18, t= 0.489860, b= 0.000000], r_t=[r= 1.01, prog= 3.66, pen=-2.65, r_old= 1.01], Reward=  3279.90 /  3154.98 / -inf, epsilon=  0.994, speed=  1.34, gear= 1, damage= 2032.00
Ep:0 step:1700(1701), a_t=[s=-0.34, t= 0.579448, b= 0.000000], r_t=[r= 1.16, prog= 3.66, pen=-2.50, r_old= 1.16], Reward=  3302.67 /  3177.75 / -inf, epsilon=  0.994, speed=  1.30, gear= 1, damage= 2032.00
Ep:0 step:1720(1721), a_t=[s= 0.01, t= 0.358463, b= 0.000000], r_t=[r= 1.48, prog= 4.12, pen=-2.64, r_old= 1.48], Reward=  3343.79 /  3218.86 / -inf, epsilon=  0.994, speed=  1.42, gear= 1, damage= 2032.00
Ep:0 step:1740(1741), a_t=[s= 0.76, t= 0.652525, b= 0.000000], r_t=[r= 8.79, prog= 22.90, pen=-14.11, r_old= 8.79], Reward=  3431.07 /  3300.89 / -inf, epsilon=  0.994, speed=  7.79, gear= 1, damage= 2038.00
Ep:0 step:1760(1761), a_t=[s= 0.89, t= 0.414398, b= 0.000000], r_t=[r= 3.95, prog= 10.88, pen=-6.93, r_old= 3.95], Reward=  3498.15 /  3363.84 / -inf, epsilon=  0.994, speed=  3.75, gear= 1, damage= 2044.00
Ep:0 step:1780(1781), a_t=[s= 1.00, t= 0.410982, b= 0.027376], r_t=[r= 2.94, prog= 7.80, pen=-4.87, r_old= 2.94], Reward=  3552.57 /  3418.26 / -inf, epsilon=  0.994, speed=  2.67, gear= 1, damage= 2044.00
Ep:0 step:1800(1801), a_t=[s=-0.27, t= 0.413899, b= 0.000000], r_t=[r= 3.62, prog= 9.41, pen=-5.80, r_old= 3.62], Reward=  3620.03 /  3485.72 / -inf, epsilon=  0.994, speed=  3.20, gear= 1, damage= 2044.00
Ep:0 step:1820(1821), a_t=[s=-0.69, t= 0.367616, b= 0.000000], r_t=[r= 14.20, prog= 33.15, pen=-18.94, r_old= 14.20], Reward=  3746.08 /  3611.78 / -inf, epsilon=  0.994, speed=  11.09, gear= 1, damage= 2044.00
Ep:0 step:1840(1841), a_t=[s= 0.14, t= 0.511157, b= 0.000000], r_t=[r= 1.65, prog= 6.74, pen=-5.10, r_old= 1.65], Reward=  3868.15 /  3729.85 / -inf, epsilon=  0.994, speed=  2.54, gear= 1, damage= 2058.00
Ep:0 step:1860(1861), a_t=[s= 0.13, t= 0.404797, b= 0.000000], r_t=[r= 1.51, prog= 4.84, pen=-3.32, r_old= 1.51], Reward=  3892.17 /  3753.87 / -inf, epsilon=  0.994, speed=  1.72, gear= 1, damage= 2058.00
Ep:0 step:1880(1881), a_t=[s= 0.56, t= 0.376655, b= 0.024370], r_t=[r= 1.48, prog= 4.35, pen=-2.87, r_old= 1.48], Reward=  3921.31 /  3783.01 / -inf, epsilon=  0.994, speed=  1.52, gear= 1, damage= 2058.00
Ep:0 step:1900(1901), a_t=[s=-0.57, t= 0.379907, b= 0.000000], r_t=[r= 2.21, prog= 6.18, pen=-3.98, r_old= 2.21], Reward=  3957.74 /  3819.44 / -inf, epsilon=  0.994, speed=  2.14, gear= 1, damage= 2058.00
Ep:0 step:1920(1921), a_t=[s= 1.00, t= 0.543462, b= 0.000000], r_t=[r= 3.39, prog= 8.97, pen=-5.58, r_old= 3.39], Reward=  4019.18 /  3880.88 / -inf, epsilon=  0.994, speed=  3.06, gear= 1, damage= 2058.00
Ep:0 step:1940(1941), a_t=[s=-0.83, t= 0.315906, b= 0.000000], r_t=[r= 3.47, prog= 9.12, pen=-5.65, r_old= 3.47], Reward=  4067.32 /  3929.02 / -inf, epsilon=  0.994, speed=  3.11, gear= 1, damage= 2058.00
Ep:0 step:1960(1961), a_t=[s= 0.03, t= 0.573622, b= 0.000000], r_t=[r= 2.97, prog= 8.45, pen=-5.48, r_old= 2.97], Reward=  4165.10 /  4016.60 / -inf, epsilon=  0.993, speed=  2.93, gear= 1, damage= 2086.00
Ep:0 step:1980(1981), a_t=[s=-0.09, t= 0.430078, b= 0.000000], r_t=[r= 2.65, prog= 7.45, pen=-4.79, r_old= 2.65], Reward=  4240.33 /  4091.83 / -inf, epsilon=  0.993, speed=  2.58, gear= 1, damage= 2086.00
=============================================================
 starting episode: 1/2000
Waiting for server on 3109............
Count Down : 5
Client connected on 3109..............
Ep:1 step:0(2001), a_t=[s=-1.00, t= 0.351822, b= 0.000000], r_t=[r=-0.02, prog=-0.02, pen= 0.00, r_old=-0.02], Reward= -0.02 / -0.02 /  4296.40, epsilon=  0.993, speed= -0.01, gear= 1, damage= 0.00
Ep:1 step:20(2021), a_t=[s= 0.38, t= 0.541077, b= 0.000000], r_t=[r= 62.97, prog= 89.14, pen=-26.17, r_old= 62.97], Reward=  769.70 /  769.70 /  4296.40, epsilon=  0.993, speed=  31.44, gear= 1, damage= 0.00
Ep:1 step:40(2041), a_t=[s= 0.84, t= 0.473833, b= 0.000000], r_t=[r= 0.25, prog= 3.46, pen=-3.21, r_old= 0.25], Reward=  1084.30 /  1102.70 /  4296.40, epsilon=  0.993, speed=  1.36, gear= 1, damage= 651.00
Ep:1 step:60(2061), a_t=[s= 1.00, t= 0.537127, b= 0.000000], r_t=[r= 0.32, prog= 2.73, pen=-2.41, r_old= 0.32], Reward=  1087.45 /  1105.85 /  4296.40, epsilon=  0.993, speed=  1.04, gear= 1, damage= 651.00
