=============================================================
 starting episode: 1700/2000
Waiting for server on 3102............
Count Down : 5
Waiting for server on 3102............
Count Down : 4
Waiting for server on 3102............
Count Down : 3
Waiting for server on 3102............
Count Down : 2
Waiting for server on 3102............
Count Down : 1
Waiting for server on 3102............
Count Down : 0
Waiting for server on 3102............
Count Down : -1
Client connected on 3102..............
Ep:1700 step:1480(1704904), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45946.94 /  45946.94 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:1500(1704924), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog= 0.02, pen=-0.04, r_old=-0.03], Reward=  45946.62 /  45946.62 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 37.00
Ep:1700 step:1520(1704944), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.05, prog= 0.04, pen=-0.06, r_old=-0.05], Reward=  45946.30 /  45946.30 /  260769.07, epsilon=  0.100, speed=  0.03, gear= 1, damage= 37.00
Ep:1700 step:1540(1704964), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.00, r_old= 0.00], Reward=  45945.93 /  45945.93 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:1560(1704984), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.00, prog= 0.00, pen=-0.00, r_old=-0.00], Reward=  45945.61 /  45945.61 /  260769.07, epsilon=  0.100, speed=  0.00, gear= 1, damage= 37.00
Ep:1700 step:1580(1705004), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.01, pen= 0.00, r_old= 0.00], Reward=  45945.23 /  45945.23 /  260769.07, epsilon=  0.100, speed= -0.01, gear= 1, damage= 37.00
Ep:1700 step:1600(1705024), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.04, pen= 0.02, r_old= 0.00], Reward=  45944.93 /  45944.93 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:1620(1705044), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog= 0.02, pen=-0.03, r_old=-0.03], Reward=  45944.51 /  45944.51 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1640(1705064), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward=  45944.20 /  45944.20 /  260769.07, epsilon=  0.100, speed= -0.00, gear= 1, damage= 37.00
Ep:1700 step:1660(1705084), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.05, pen= 0.02, r_old= 0.00], Reward=  45943.81 /  45943.81 /  260769.07, epsilon=  0.100, speed= -0.04, gear= 1, damage= 37.00
Ep:1700 step:1680(1705104), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45943.55 /  45943.55 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
Ep:1700 step:1700(1705124), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.04, prog= 0.03, pen=-0.05, r_old=-0.04], Reward=  45943.13 /  45943.13 /  260769.07, epsilon=  0.100, speed=  0.02, gear= 1, damage= 37.00
Ep:1700 step:1720(1705144), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.04, pen= 0.02, r_old= 0.00], Reward=  45942.92 /  45942.92 /  260769.07, epsilon=  0.100, speed= -0.03, gear= 1, damage= 37.00
Ep:1700 step:1740(1705164), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r=-0.03, prog= 0.02, pen=-0.03, r_old=-0.03], Reward=  45942.69 /  45942.69 /  260769.07, epsilon=  0.100, speed=  0.01, gear= 1, damage= 37.00
Ep:1700 step:1760(1705184), a_t=[s= 1.00, t= 0.000000, b= 1.000000], r_t=[r= 0.00, prog=-0.03, pen= 0.01, r_old= 0.00], Reward=  45942.08 /  45942.08 /  260769.07, epsilon=  0.100, speed= -0.02, gear= 1, damage= 37.00
