=============================================================
 starting episode: 0/2000
Client connected on 3102..............
Ep:2 step:1520(1771), a_t=[s= 0.77, t= 0.316857, b= 0.000000], r_t=[r=-0.16, prog= 0.02, pen=-0.16, r_old=-0.16], Reward= -317.37 / -317.37 / -29.69, epsilon=  0.994, speed=  0.07, gear= 1, damage= 120.00
Ep:2 step:1540(1791), a_t=[s=-1.00, t= 0.573817, b= 0.000000], r_t=[r=-0.03, prog= 0.00, pen=-0.03, r_old=-0.03], Reward= -321.82 / -321.82 / -29.69, epsilon=  0.994, speed=  0.01, gear= 1, damage= 120.00
Ep:2 step:1560(1811), a_t=[s= 0.61, t= 0.361948, b= 0.000000], r_t=[r= 0.05, prog=-0.04, pen= 0.06, r_old= 0.05], Reward= -325.29 / -325.29 / -29.69, epsilon=  0.994, speed= -0.12, gear= 1, damage= 120.00
Ep:2 step:1580(1831), a_t=[s= 0.18, t= 0.437537, b= 0.000000], r_t=[r= 0.05, prog=-0.04, pen= 0.06, r_old= 0.05], Reward= -328.02 / -328.02 / -29.69, epsilon=  0.994, speed= -0.12, gear= 1, damage= 120.00
Ep:2 step:1600(1851), a_t=[s=-1.00, t= 0.630341, b= 0.000000], r_t=[r=-0.19, prog= 0.02, pen=-0.20, r_old=-0.19], Reward= -331.36 / -331.36 / -29.69, epsilon=  0.994, speed=  0.08, gear= 1, damage= 120.00
Ep:2 step:1620(1871), a_t=[s=-0.42, t= 0.518782, b= 0.000000], r_t=[r=-0.09, prog= 0.01, pen=-0.09, r_old=-0.09], Reward= -334.19 / -334.19 / -29.69, epsilon=  0.994, speed=  0.04, gear= 1, damage= 120.00
Ep:2 step:1640(1891), a_t=[s=-0.18, t= 0.515841, b= 0.000000], r_t=[r=-0.43, prog= 0.05, pen=-0.45, r_old=-0.43], Reward= -338.31 / -338.31 / -29.69, epsilon=  0.994, speed=  0.18, gear= 1, damage= 120.00
Ep:2 step:1660(1911), a_t=[s=-0.33, t= 0.522722, b= 0.000000], r_t=[r= 0.02, prog=-0.02, pen= 0.03, r_old= 0.02], Reward= -341.21 / -341.21 / -29.69, epsilon=  0.994, speed= -0.05, gear= 1, damage= 120.00
Ep:2 step:1680(1931), a_t=[s=-1.00, t= 0.392749, b= 0.000000], r_t=[r= 0.00, prog=-0.00, pen= 0.00, r_old= 0.00], Reward= -345.16 / -345.16 / -29.69, epsilon=  0.994, speed= -0.01, gear= 1, damage= 120.00
Ep:2 step:1700(1951), a_t=[s= 0.76, t= 0.478803, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.01, r_old= 0.01], Reward= -349.16 / -349.16 / -29.69, epsilon=  0.993, speed= -0.03, gear= 1, damage= 120.00
Ep:2 step:1720(1971), a_t=[s=-1.00, t= 0.456013, b= 0.000000], r_t=[r= 0.01, prog=-0.01, pen= 0.02, r_old= 0.01], Reward= -351.27 / -351.27 / -29.69, epsilon=  0.993, speed= -0.03, gear= 1, damage= 120.00
Ep:2 step:1740(1991), a_t=[s=-0.86, t= 0.500329, b= 0.000000], r_t=[r=-0.12, prog= 0.01, pen=-0.13, r_old=-0.12], Reward= -353.19 / -353.19 / -29.69, epsilon=  0.993, speed=  0.05, gear= 1, damage= 120.00
Ep:2 step:1760(2011), a_t=[s= 0.23, t= 0.586407, b= 0.000000], r_t=[r=-0.24, prog= 0.03, pen=-0.25, r_old=-0.24], Reward= -355.87 / -355.87 / -29.69, epsilon=  0.993, speed=  0.10, gear= 1, damage= 120.00
Ep:2 step:1780(2031), a_t=[s= 0.30, t= 0.505719, b= 0.000000], r_t=[r=-0.42, prog= 0.05, pen=-0.44, r_old=-0.42], Reward= -358.71 / -358.71 / -29.69, epsilon=  0.993, speed=  0.18, gear= 1, damage= 120.00
Ep:2 step:1800(2051), a_t=[s=-0.01, t= 0.531763, b= 0.000000], r_t=[r=-0.06, prog= 0.01, pen=-0.06, r_old=-0.06], Reward= -360.98 / -360.98 / -29.69, epsilon=  0.993, speed=  0.03, gear= 1, damage= 120.00
Ep:2 step:1820(2071), a_t=[s=-0.55, t= 0.468725, b= 0.000000], r_t=[r=-0.04, prog= 0.01, pen=-0.04, r_old=-0.04], Reward= -363.57 / -363.57 / -29.69, epsilon=  0.993, speed=  0.02, gear= 1, damage= 120.00
