=============================================================
 starting episode: 500/2000
Waiting for server on 3104............
Count Down : 5
Waiting for server on 3104............
Count Down : 4
Waiting for server on 3104............
Count Down : 3
Waiting for server on 3104............
Count Down : 2
Waiting for server on 3104............
Count Down : 1
Waiting for server on 3104............
Count Down : 0
Waiting for server on 3104............
Count Down : -1
Waiting for server on 3104............
Count Down : 4
Client connected on 3104..............
Ep:500 step:1520(116461), a_t=[s=-0.06, t= 0.075148, b= 0.000000], r_t=[r= 65.75, prog= 84.45, pen=-18.69, r_old= 65.75], Reward=  131143.40 /  131143.40 /  291461.42, epsilon=  0.631, speed=  28.15, gear= 1, damage= 0.00
Ep:500 step:1540(116481), a_t=[s=-0.05, t= 0.096665, b= 0.000000], r_t=[r= 67.94, prog= 87.20, pen=-19.27, r_old= 67.94], Reward=  132463.87 /  132463.87 /  291461.42, epsilon=  0.631, speed=  29.07, gear= 1, damage= 0.00
Ep:500 step:1560(116501), a_t=[s=-0.20, t= 0.185323, b= 0.000000], r_t=[r= 63.15, prog= 81.41, pen=-18.26, r_old= 63.15], Reward=  133766.95 /  133766.95 /  291461.42, epsilon=  0.631, speed=  27.14, gear= 1, damage= 0.00
Ep:500 step:1580(116521), a_t=[s=-0.46, t= 0.039548, b= 0.000000], r_t=[r= 62.88, prog= 81.51, pen=-18.63, r_old= 62.88], Reward=  135042.61 /  135042.61 /  291461.42, epsilon=  0.631, speed=  27.17, gear= 1, damage= 0.00
Ep:500 step:1600(116541), a_t=[s=-0.24, t= 0.038478, b= 0.000000], r_t=[r= 65.88, prog= 85.40, pen=-19.52, r_old= 65.88], Reward=  136346.98 /  136346.98 /  291461.42, epsilon=  0.631, speed=  28.47, gear= 1, damage= 0.00
Ep:500 step:1620(116561), a_t=[s=-0.57, t= 0.053105, b= 0.000000], r_t=[r= 66.85, prog= 86.23, pen=-19.37, r_old= 66.85], Reward=  137701.39 /  137701.39 /  291461.42, epsilon=  0.631, speed=  28.76, gear= 1, damage= 0.00
Ep:500 step:1640(116581), a_t=[s=-0.18, t= 0.038324, b= 0.000000], r_t=[r= 58.59, prog= 75.66, pen=-17.07, r_old= 58.59], Reward=  138920.06 /  138920.06 /  291461.42, epsilon=  0.631, speed=  25.22, gear= 1, damage= 0.00
Ep:500 step:1660(116601), a_t=[s= 0.01, t= 0.043970, b= 0.000000], r_t=[r= 71.58, prog= 93.73, pen=-22.14, r_old= 71.58], Reward=  140308.71 /  140308.71 /  291461.42, epsilon=  0.631, speed=  31.25, gear= 1, damage= 0.00
Ep:500 step:1680(116621), a_t=[s=-0.11, t= 0.000766, b= 0.000000], r_t=[r= 53.12, prog= 61.03, pen=-7.91, r_old= 53.12], Reward=  141507.89 /  141507.89 /  291461.42, epsilon=  0.631, speed=  20.75, gear= 1, damage= 0.00
Ep:500 step:1700(116641), a_t=[s= 0.25, t= 0.058491, b= 0.000000], r_t=[r= 47.47, prog= 50.72, pen=-3.25, r_old= 47.47], Reward=  142511.54 /  142511.54 /  291461.42, epsilon=  0.631, speed=  16.91, gear= 1, damage= 0.00
Ep:500 step:1720(116661), a_t=[s= 0.18, t= 0.033321, b= 0.000000], r_t=[r= 42.97, prog= 46.95, pen=-3.98, r_old= 42.97], Reward=  143438.18 /  143438.18 /  291461.42, epsilon=  0.631, speed=  15.66, gear= 1, damage= 0.00
Ep:500 step:1740(116681), a_t=[s= 0.11, t= 0.120389, b= 0.000000], r_t=[r= 41.61, prog= 45.17, pen=-3.55, r_old= 41.61], Reward=  144275.03 /  144275.03 /  291461.42, epsilon=  0.631, speed=  15.06, gear= 1, damage= 0.00
Ep:500 step:1760(116701), a_t=[s= 0.27, t= 0.515615, b= 0.000000], r_t=[r= 85.64, prog= 90.99, pen=-5.35, r_old= 85.64], Reward=  145313.42 /  145313.42 /  291461.42, epsilon=  0.631, speed=  30.33, gear= 1, damage= 0.00
Ep:500 step:1780(116721), a_t=[s=-0.11, t= 0.075455, b= 0.000000], r_t=[r= 68.62, prog= 88.95, pen=-20.33, r_old= 68.62], Reward=  146894.52 /  146894.52 /  291461.42, epsilon=  0.631, speed=  29.65, gear= 1, damage= 0.00
Ep:500 step:1800(116741), a_t=[s= 0.25, t= 0.000150, b= 0.000000], r_t=[r= 48.81, prog= 58.32, pen=-9.51, r_old= 48.81], Reward=  148020.47 /  148020.47 /  291461.42, epsilon=  0.631, speed=  20.17, gear= 1, damage= 0.00
Ep:500 step:1820(116761), a_t=[s= 0.17, t= 0.047983, b= 0.000000], r_t=[r= 46.88, prog= 49.16, pen=-2.28, r_old= 46.88], Reward=  148991.74 /  148991.74 /  291461.42, epsilon=  0.631, speed=  16.39, gear= 1, damage= 0.00
Ep:500 step:1840(116781), a_t=[s= 0.28, t= 0.043152, b= 0.000000], r_t=[r= 45.51, prog= 49.19, pen=-3.68, r_old= 45.51], Reward=  149907.42 /  149907.42 /  291461.42, epsilon=  0.631, speed=  16.40, gear= 1, damage= 0.00
Ep:500 step:1860(116801), a_t=[s= 0.42, t= 0.046592, b= 0.000000], r_t=[r= 42.28, prog= 46.48, pen=-4.20, r_old= 42.28], Reward=  150790.35 /  150790.35 /  291461.42, epsilon=  0.631, speed=  15.49, gear= 1, damage= 0.00
Ep:500 step:1880(116821), a_t=[s= 0.36, t= 0.098850, b= 0.000000], r_t=[r= 40.88, prog= 45.37, pen=-4.49, r_old= 40.88], Reward=  151635.33 /  151635.33 /  291461.42, epsilon=  0.631, speed=  15.13, gear= 1, damage= 0.00
