=============================================================
 starting episode: 200/2000
Waiting for server on 3104............
Count Down : 5
Client connected on 3104..............
Ep:202 step:120(79985), a_t=[s=-0.95, t= 0.593806, b= 0.000000], r_t=[r= 111.05, prog= 234.19, pen=-123.14, r_old= 111.05], Reward=  18885.41 /  18885.41 /  120736.18, epsilon=  0.797, speed=  80.62, gear= 1, damage= 0.00
Ep:202 step:140(80005), a_t=[s= 0.08, t= 0.542800, b= 0.000000], r_t=[r= 239.29, prog= 248.56, pen=-9.27, r_old= 239.29], Reward=  22427.86 /  22427.86 /  120736.18, epsilon=  0.797, speed=  83.27, gear= 1, damage= 0.00
Ep:202 step:160(80025), a_t=[s= 0.05, t= 0.595793, b= 0.000000], r_t=[r= 162.04, prog= 245.56, pen=-83.52, r_old= 162.04], Reward=  24907.98 /  24907.98 /  120736.18, epsilon=  0.797, speed=  83.50, gear= 1, damage= 20.00
Ep:202 step:180(80045), a_t=[s=-0.06, t= 0.675747, b= 0.000000], r_t=[r= 233.93, prog= 246.22, pen=-12.30, r_old= 233.93], Reward=  29186.58 /  29186.58 /  120736.18, epsilon=  0.796, speed=  82.65, gear= 1, damage= 20.00
Ep:202 step:200(80065), a_t=[s=-1.00, t= 0.351824, b= 0.000000], r_t=[r=-1.23, prog= 0.78, pen=-2.01, r_old=-1.23], Reward=  30214.81 /  30214.81 /  120736.18, epsilon=  0.796, speed=  0.83, gear= 1, damage= 177.00
Ep:202 step:220(80085), a_t=[s=-1.00, t= 0.358632, b= 0.000000], r_t=[r=-0.20, prog= 0.16, pen=-0.36, r_old=-0.20], Reward=  30213.26 /  30213.26 /  120736.18, epsilon=  0.796, speed=  0.15, gear= 1, damage= 177.00
Ep:202 step:240(80105), a_t=[s=-0.25, t= 0.429032, b= 0.000000], r_t=[r=-0.08, prog= 0.07, pen=-0.15, r_old=-0.08], Reward=  30210.96 /  30210.96 /  120736.18, epsilon=  0.796, speed=  0.06, gear= 1, damage= 177.00
Ep:202 step:260(80125), a_t=[s= 0.22, t= 0.240990, b= 0.000000], r_t=[r=-0.06, prog= 0.07, pen=-0.13, r_old=-0.06], Reward=  30208.60 /  30208.60 /  120736.18, epsilon=  0.796, speed=  0.05, gear= 1, damage= 177.00
Ep:202 step:280(80145), a_t=[s=-0.75, t= 0.438820, b= 0.000000], r_t=[r=-0.10, prog= 0.15, pen=-0.25, r_old=-0.10], Reward=  30205.82 /  30205.82 /  120736.18, epsilon=  0.796, speed=  0.11, gear= 1, damage= 177.00
Ep:202 step:300(80165), a_t=[s=-0.94, t= 0.508496, b= 0.000000], r_t=[r=-0.13, prog= 0.20, pen=-0.33, r_old=-0.13], Reward=  30203.52 /  30203.52 /  120736.18, epsilon=  0.796, speed=  0.14, gear= 1, damage= 177.00
Ep:202 step:320(80185), a_t=[s=-1.00, t= 0.155044, b= 0.000000], r_t=[r=-0.03, prog=-0.05, pen= 0.02, r_old=-0.03], Reward=  30201.45 /  30201.45 /  120736.18, epsilon=  0.796, speed= -0.03, gear= 1, damage= 177.00
Ep:202 step:340(80205), a_t=[s=-1.00, t= 0.422810, b= 0.000000], r_t=[r=-0.17, prog= 0.34, pen=-0.51, r_old=-0.17], Reward=  30199.46 /  30199.46 /  120736.18, epsilon=  0.796, speed=  0.22, gear= 1, damage= 177.00
Ep:202 step:360(80225), a_t=[s=-0.75, t= 0.512392, b= 0.000000], r_t=[r=-0.01, prog= 0.01, pen=-0.02, r_old=-0.01], Reward=  30198.13 /  30198.13 /  120736.18, epsilon=  0.796, speed=  0.01, gear= 1, damage= 177.00
