=============================================================
 starting episode: 500/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:500 step:1660(156233), a_t=[s= 0.09, t= 0.000000, b= 0.000000], r_t=[r=-0.12, prog=-0.25, pen= 0.12, r_old=-0.12], Reward=  108.82 /  108.82 /  287635.09, epsilon=  0.626, speed= -0.08, gear= 1, damage= 0.00
Ep:500 step:1680(156253), a_t=[s= 0.14, t= 0.000000, b= 0.000000], r_t=[r=-0.23, prog=-0.47, pen= 0.24, r_old=-0.23], Reward=  105.29 /  105.29 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:1700(156273), a_t=[s= 0.32, t= 0.000000, b= 0.000000], r_t=[r=-0.20, prog=-0.42, pen= 0.21, r_old=-0.20], Reward=  100.62 /  100.62 /  287635.09, epsilon=  0.626, speed= -0.14, gear= 1, damage= 0.00
Ep:500 step:1720(156293), a_t=[s= 0.35, t= 0.000000, b= 0.000000], r_t=[r=-0.21, prog=-0.44, pen= 0.23, r_old=-0.21], Reward=  97.68 /  97.68 /  287635.09, epsilon=  0.626, speed= -0.15, gear= 1, damage= 0.00
Ep:500 step:1740(156313), a_t=[s= 0.23, t= 0.000000, b= 0.000000], r_t=[r=-0.22, prog=-0.47, pen= 0.24, r_old=-0.22], Reward=  93.17 /  93.17 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:1760(156333), a_t=[s= 0.58, t= 0.000000, b= 0.000000], r_t=[r=-0.09, prog=-0.18, pen= 0.10, r_old=-0.09], Reward=  91.25 /  91.25 /  287635.09, epsilon=  0.626, speed= -0.06, gear= 1, damage= 0.00
Ep:500 step:1780(156353), a_t=[s= 0.28, t= 0.000000, b= 0.000000], r_t=[r=-0.24, prog=-0.52, pen= 0.28, r_old=-0.24], Reward=  87.53 /  87.53 /  287635.09, epsilon=  0.626, speed= -0.17, gear= 1, damage= 0.00
Ep:500 step:1800(156373), a_t=[s= 0.41, t= 0.000000, b= 0.000000], r_t=[r=-0.05, prog=-0.10, pen= 0.06, r_old=-0.05], Reward=  85.16 /  85.16 /  287635.09, epsilon=  0.626, speed= -0.03, gear= 1, damage= 0.00
Ep:500 step:1820(156393), a_t=[s= 0.35, t= 0.000000, b= 0.000000], r_t=[r=-0.19, prog=-0.42, pen= 0.23, r_old=-0.19], Reward=  82.89 /  82.89 /  287635.09, epsilon=  0.626, speed= -0.14, gear= 1, damage= 0.00
Ep:500 step:1840(156413), a_t=[s= 0.03, t= 0.000000, b= 0.000000], r_t=[r=-0.07, prog=-0.15, pen= 0.08, r_old=-0.07], Reward=  80.68 /  80.68 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1860(156433), a_t=[s= 0.20, t= 0.000000, b= 0.000000], r_t=[r=-0.05, prog=-0.12, pen= 0.06, r_old=-0.05], Reward=  79.07 /  79.07 /  287635.09, epsilon=  0.626, speed= -0.04, gear= 1, damage= 0.00
Ep:500 step:1880(156453), a_t=[s= 0.16, t= 0.000000, b= 0.000000], r_t=[r=-0.13, prog=-0.29, pen= 0.16, r_old=-0.13], Reward=  76.44 /  76.44 /  287635.09, epsilon=  0.626, speed= -0.10, gear= 1, damage= 0.00
Ep:500 step:1900(156473), a_t=[s= 0.27, t= 0.000000, b= 0.000000], r_t=[r=-0.06, prog=-0.14, pen= 0.08, r_old=-0.06], Reward=  74.25 /  74.25 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1920(156493), a_t=[s= 0.19, t= 0.000000, b= 0.000000], r_t=[r=-0.06, prog=-0.14, pen= 0.08, r_old=-0.06], Reward=  72.14 /  72.14 /  287635.09, epsilon=  0.626, speed= -0.05, gear= 1, damage= 0.00
Ep:500 step:1940(156513), a_t=[s= 0.00, t= 0.000000, b= 0.000000], r_t=[r=-0.21, prog=-0.47, pen= 0.26, r_old=-0.21], Reward=  68.95 /  68.95 /  287635.09, epsilon=  0.626, speed= -0.16, gear= 1, damage= 0.00
Ep:500 step:1960(156533), a_t=[s= 0.16, t= 0.000000, b= 0.000000], r_t=[r=-0.15, prog=-0.35, pen= 0.19, r_old=-0.15], Reward=  62.39 /  62.39 /  287635.09, epsilon=  0.626, speed= -0.12, gear= 1, damage= 0.00
Ep:500 step:1980(156553), a_t=[s= 0.14, t= 0.000000, b= 0.000000], r_t=[r=-0.72, prog=-1.62, pen= 0.90, r_old=-0.72], Reward=  57.04 /  57.04 /  287635.09, epsilon=  0.626, speed= -0.54, gear= 1, damage= 0.00
=============================================================
 starting episode: 501/2000
Waiting for server on 3102............
Count Down : 5
Client connected on 3102..............
Ep:501 step:0(156573), a_t=[s= 0.36, t= 0.273930, b= 0.000000], r_t=[r= 0.25, prog= 0.25, pen=-0.00, r_old= 0.25], Reward=  0.25 /  0.25 /  287635.09, epsilon=  0.626, speed=  0.08, gear= 1, damage= 0.00
Ep:501 step:20(156593), a_t=[s=-0.52, t= 0.316492, b= 0.000000], r_t=[r= 54.40, prog= 58.57, pen=-4.16, r_old= 54.40], Reward=  599.93 /  599.93 /  287635.09, epsilon=  0.626, speed=  19.75, gear= 1, damage= 0.00
Ep:501 step:40(156613), a_t=[s= 0.93, t= 0.265016, b= 0.000000], r_t=[r= 119.08, prog= 139.28, pen=-20.20, r_old= 119.08], Reward=  2332.95 /  2332.95 /  287635.09, epsilon=  0.626, speed=  46.63, gear= 1, damage= 0.00
