=============================================================
 starting episode: 1000/2000
Client connected on 3105..............
Ep:1001 step:600(388009), a_t=[s= 0.27, t= 0.550421, b= 0.000000], r_t=[r= 365.56, prog= 418.56, pen=-53.00, r_old= 365.56], Reward=  222123.48 /  222123.48 /  762017.60, epsilon=  0.100, speed=  139.78, gear= 4, damage= 0.00
Ep:1001 step:620(388029), a_t=[s= 0.45, t= 0.936377, b= 0.000000], r_t=[r= 352.72, prog= 416.52, pen=-63.80, r_old= 352.72], Reward=  229064.64 /  229064.64 /  762017.60, epsilon=  0.100, speed=  138.87, gear= 5, damage= 0.00
Ep:1001 step:640(388049), a_t=[s=-0.22, t= 0.428245, b= 0.000000], r_t=[r= 419.67, prog= 437.67, pen=-18.00, r_old= 419.67], Reward=  237144.49 /  237144.49 /  762017.60, epsilon=  0.100, speed=  146.29, gear= 5, damage= 0.00
Ep:1001 step:660(388069), a_t=[s= 0.03, t= 0.483860, b= 0.000000], r_t=[r= 440.29, prog= 447.02, pen=-6.73, r_old= 440.29], Reward=  245555.99 /  245555.99 /  762017.60, epsilon=  0.100, speed=  149.13, gear= 5, damage= 0.00
Ep:1001 step:680(388089), a_t=[s= 0.47, t= 0.939811, b= 0.000000], r_t=[r= 363.11, prog= 376.62, pen=-13.50, r_old= 363.11], Reward=  252900.93 /  252900.93 /  762017.60, epsilon=  0.100, speed=  125.64, gear= 4, damage= 0.00
Ep:1001 step:700(388109), a_t=[s= 0.45, t= 0.235138, b= 0.000000], r_t=[r= 360.74, prog= 371.95, pen=-11.21, r_old= 360.74], Reward=  259657.88 /  259657.88 /  762017.60, epsilon=  0.100, speed=  124.02, gear= 4, damage= 0.00
Ep:1001 step:720(388129), a_t=[s=-0.28, t= 0.959572, b= 0.000000], r_t=[r= 390.10, prog= 414.74, pen=-24.65, r_old= 390.10], Reward=  266734.45 /  266734.45 /  762017.60, epsilon=  0.100, speed=  138.30, gear= 5, damage= 0.00
Ep:1001 step:740(388149), a_t=[s= 0.22, t= 0.955898, b= 0.000000], r_t=[r= 406.68, prog= 418.00, pen=-11.32, r_old= 406.68], Reward=  274612.82 /  274612.82 /  762017.60, epsilon=  0.100, speed=  139.63, gear= 4, damage= 0.00
Ep:1001 step:760(388169), a_t=[s= 0.06, t= 0.053755, b= 0.000000], r_t=[r= 397.31, prog= 427.62, pen=-30.32, r_old= 397.31], Reward=  282664.71 /  282664.71 /  762017.60, epsilon=  0.100, speed=  143.29, gear= 5, damage= 0.00
Ep:1001 step:780(388189), a_t=[s= 0.30, t= 0.048859, b= 0.000000], r_t=[r= 398.74, prog= 431.70, pen=-32.96, r_old= 398.74], Reward=  291129.05 /  291129.05 /  762017.60, epsilon=  0.100, speed=  145.28, gear= 5, damage= 0.00
Ep:1001 step:800(388209), a_t=[s= 0.55, t= 0.922683, b= 0.000000], r_t=[r= 355.74, prog= 384.66, pen=-28.93, r_old= 355.74], Reward=  298365.36 /  298365.36 /  762017.60, epsilon=  0.100, speed=  128.28, gear= 4, damage= 0.00
Server has stopped the race on 3105. You were in 1 place.
Race terminated or 100000 steps elapsed. Shutting down 3105.
Ep:1001 step:820(388229), a_t=[s= 0.21, t= 0.951383, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  305558.58 /  305558.58 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
Ep:1001 step:840(388249), a_t=[s= 0.00, t= 0.931327, b= 0.000000], r_t=[r= 385.32, prog= 415.25, pen=-29.93, r_old= 385.32], Reward=  313265.07 /  313265.07 /  762017.60, epsilon=  0.100, speed=  138.65, gear= 4, damage= 0.00
